status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5550296508_10155848606051509,"The Vikings' home stadium in Minneapolis is named U.S. Bank Stadium, and the Minneapolis-based bank is reportedly a major investor in the controversial project.",#NoDAPL banner at Vikings game ends in arrests,link,http://cnn.it/2iWszjG,2017-01-01 18:31:45,1324,292,160,1040,156,39,57,8,24
comment: ,Funny he is absolutely correct,0.4,0.4
comment: ,If only Hillary had a brain.,0.2,0.2
comment: ,What are you the Facebook idiot?,-0.4,0.4
comment: ,Is that how he communicates with his Russian comrades? LOL.,0.2,0.4
comment: ,He's right...  for the first time.,0.4,0.4
comment: ,Nice twist of words.,0.8,0.8
comment: ,What a complete imbecile.,-0.1,0.1
comment: ,,0,0
comment: ,QUick!  Invest in Bic pens and lead pencils!  It's the way of the future.,0.2,0.8
comment: ,You tried.,-0.3,0.3
comment: ,I hope someone steals your phone and give it to the world.,0,0
comment: ,Why is Donald Trump acting like he's some expert in tech? He doesn't know what he's talking about.,0,0.1
comment: ,Yes because couriers have never stolen anything and sold it.,0,0
comment: ,But didn't obama promise us a faster/safer internet? Where'd that money go or was it just a deflection to bury something else he failed at?,-0.2,0.8
comment: ,Stock in the Pony Express is skyrocketing!,0.9,0.9
comment: ,lol,0.3,0.3
comment: ,I'm new to CNN. Is CNN one of them  fake news sites?,0,0.6
comment: ,I'm new to CNN. Is CNN one of them  fake news sites?,0,0.6
comment: ,I'm new to CNN. Is CNN one of them  fake news sites?,0,0.6
